fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EIN60R_1659,1538.97818086793,0.31069240258167896,34909.496730446815,33234.68630564213,D,r
EIN611_1579,1558.0428214282133,0.30787301319884935,6256.364305257797,5933.230648756027,D,r
EIN84X_1515,1542.5769610007073,0.3264888285445011,12768.069091320038,9157.707243680954,D,r
EZY16MH_978,1502.6499696459155,0.2915996646631062,17620.589525327086,17620.589525327086,D,r
ITY109_1534,1550.9461393686597,0.48693625542451113,226095.61698530614,225378.61981891096,D,r
ITY121_1784,1526.4911366892468,0.41702814878867284,380876.47179564834,332631.2649206966,D,r
VLG41JT_193,1513.8877044655105,0.4980705676284454,36469.442737683654,26756.612171277404,D,r
VLG8379_316,1561.5368654764845,0.40747180386742465,47393.69834446907,38449.042014718056,D,r
VLG98RR_135,1618.6199200573362,0.328659353801651,221846.66625021398,218655.4365761131,D,r
AUA3SV_1122,946.3235260324814,0.4070527109079858,20410.22498320043,20410.22498320043,D,n
DLH4UX_557,972.5722147874349,0.39978008820877065,16030.205785736442,16030.205785736442,D,n
EIN60R_1659,974.3070584952604,0.2086728624918785,6738.529662132263,6738.529662132263,D,n
EIN611_1579,1001.6070566994806,0.20628308222032185,6341.841612815857,6341.841612815857,D,n
EIN84X_1515,980.6648326034785,0.2337492777166837,39219.70300292969,39219.70300292969,D,n
EZY16MH_978,923.6181880464042,0.2030873572464684,9391.016661643982,9391.016661643982,D,n
ITY109_1534,948.8171067997956,0.3783887500977069,21655.854278564453,21655.854278564453,D,n
ITY121_1784,986.5479710675595,0.3408510423144301,22185.74984741211,22185.74984741211,D,n
VLG41JT_193,957.8227820287476,0.36333055676698633,11132.823693275452,11132.823693275452,D,n
VLG8379_316,959.377514315986,0.23376566978027546,33427.88952636719,33427.88952636719,D,n
VLG98RR_135,972.3229044526854,0.23389769763717544,42864.20202636719,42864.20202636719,D,n
DLH3A_603,938.8700488141617,0.7036623692488672,31812.88803100586,31812.88803100586,DN,f
EIN60Y_1710,999.9825390970626,0.4418024786174184,23253.84844970703,23253.84844970703,DN,f
EIN611_1579,1001.5164273700549,0.44184181259735184,23253.84844970703,23253.84844970703,DN,f
EIN84T_1587,974.0762016520948,0.5361204712247025,38817.62545776367,38817.62545776367,DN,f
EIN84X_1515,977.8133183734842,0.539749190516937,38406.24685668945,38406.24685668945,DN,f
EJU42KM_1219,804.4968939836115,0.8229688036320695,45141.78927612305,45141.78927612305,DN,f
EJU5284_1390,799.3573380341496,0.8192674246616235,47332.22653198242,47332.22653198242,DN,f
EZS39RG_1538,962.825002653014,0.6569533301400922,12034.985900878906,12034.985900878906,DN,f
EZY84JU_960,940.1917588362928,0.4399931520995912,17591.985321044922,17591.985321044922,DN,f
ITY113_1804,965.4492643326614,0.6150322965012873,0.0,0.0,DN,f
SAS62L_1257,968.3418384092658,0.5585645357488018,66862.24453735352,66862.24453735352,DN,f
TRA6875_1499,939.8684062307682,0.7148401850839785,29767.416259765625,29767.416259765625,DN,f
VLG12BR_219,1000.2643078176211,0.7169696782346484,21827.88913345337,21827.88913345337,DN,f
DLH3A_603,1425.486981479282,0.8092715398751066,40531.8703918457,34845.17141723633,DN,r
EIN60Y_1710,1541.8862323891888,0.600575161338657,44039.80799865723,31514.076950073242,DN,r
EIN611_1579,1558.0428214282133,0.6443800263121742,29026.138069152832,23449.891731262207,DN,r
EIN84T_1587,1421.628624701087,0.7328103967089536,128551.16178894043,87218.21159362793,DN,r
EIN84X_1515,1542.5769610007073,0.685799523444983,48699.34314727783,38693.10788726807,DN,r
EJU42KM_1219,1193.0691596987044,0.9041595389855925,629856.7861785889,498470.81312561035,DN,r
EJU5284_1390,1269.119927408341,0.8432291354678225,61141.80294799805,56172.19613647461,DN,r
EZS39RG_1538,1389.7763727562256,0.6626936466427007,12320.230438232422,12320.230438232422,DN,r
EZY84JU_960,1430.0440096066582,0.5671224907610615,29887.22003173828,28063.63897705078,DN,r
ITY113_1804,1455.0417263168238,0.7889026100513653,0.0,0.0,DN,r
SAS62L_1257,1527.4027261774231,0.6747381634282501,463823.90198516846,437718.65782928467,DN,r
TRA6875_1499,1633.595257145343,0.9663987997365945,13236.633392333984,13236.633392333984,DN,r
VLG12BR_219,1609.1229892089655,0.8009820501753038,104455.9017791748,82349.38081359863,DN,r
DLH3A_603,939.4869331810139,0.7009783538418366,25756.50779724121,25756.50779724121,DN,n
EIN60Y_1710,1000.2230853490923,0.4400088477372296,14845.274353027344,14845.274353027344,DN,n
