ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
108.0,-59684.01750155766,52613.79087972146,1946.8795441777631,52.17135103386458,4.995059748469868,6387.0,0.82,530.37,3500.0,128.3,28.88,63407.0,69587.0,EZS39RG_1538,0.039260310548360156
129.0,-55088.52419574296,48984.37575881647,2330.1594529851104,52.1391907491453,5.06303224789483,7645.0,0.82,527.97,3500.0,126.61,28.52,63379.0,68566.0,EZS39RG_1538,0.03797056097086625
151.0,-50409.475030565096,45508.04411003203,2713.439361783489,52.108375710667524,5.132107262485722,8902.0,0.82,525.55,3500.0,125.37,28.16,63350.0,67566.0,EZS39RG_1538,0.03699066148164415
172.0,-45678.07819892816,42149.556817486286,3096.719270571818,52.07858445828013,5.201836950941732,10160.0,0.82,523.12,3500.0,126.99,27.86,63323.0,66754.0,EZS39RG_1538,0.034609692044490194
194.0,-41065.041209669485,38674.990264000546,3479.999179349468,52.04769950947318,5.269756859060933,11417.0,0.82,520.69,3500.0,129.6,27.97,63295.0,67040.0,EZS39RG_1538,0.0303082192479001
216.0,-36636.18948315079,35010.95347370418,3863.279088116871,52.015059566826615,5.33491188851013,12675.0,0.82,518.24,3500.0,132.21,28.03,63267.0,67226.0,EZS39RG_1538,0.026514803455281122
237.0,-32398.80190730163,31167.56823865067,4246.558996874735,51.9807597295008,5.397193273901288,13932.0,0.82,515.78,3500.0,132.79,28.06,63239.0,67309.0,EZS39RG_1538,0.024160748195278164
259.0,-28220.468932862463,27300.299497133376,4629.838905623224,51.946209315347296,5.4585196978954675,15190.0,0.82,513.31,3500.0,132.72,28.06,63210.0,67288.0,EZS39RG_1538,0.023194762618371945
280.0,-24058.12391119782,23456.305684760046,5013.118814361714,51.91183571534811,5.519516958922644,16447.0,0.82,510.82,3500.0,132.7,28.01,63182.0,67164.0,EZS39RG_1538,0.022225582407124234
302.0,-19914.852834790923,19632.448999147047,5396.398723089646,51.877611052107355,5.580141847196644,17705.0,0.82,508.33,3500.0,132.31,27.93,63155.0,66936.0,EZS39RG_1538,0.021333910972680923
323.0,-15765.92393564048,15855.924813241918,5779.678631806577,51.84378111475674,5.6407546628162555,18962.0,0.82,505.82,3500.0,131.82,27.81,63127.0,66605.0,EZS39RG_1538,0.020711168150574027
345.0,-11605.933758815652,12133.372120068552,6162.958540505735,51.81040568384467,5.701435486011266,20220.0,0.82,503.3,3500.0,131.58,27.65,63099.0,66172.0,EZS39RG_1538,0.01091417926090427
366.0,-7451.35567597867,8446.968894870206,6546.2384490089935,51.777324101702824,5.761947024758419,21477.0,0.82,500.77,3500.0,131.58,27.45,63072.0,65639.0,EZS39RG_1538,0.0
388.0,-3317.510705134164,4779.737696586666,6929.51835745351,51.74438380058564,5.822068546277723,22735.0,0.82,498.22,3500.0,131.58,27.21,63044.0,65009.0,EZS39RG_1538,0.0
410.0,795.1058630373245,1131.3387142780944,7312.798265855958,51.711582254333464,5.881794363150289,23992.0,0.82,495.66,3500.0,131.58,26.94,63017.0,64284.0,EZS39RG_1538,0.0
431.0,4886.383891474179,-2498.1303470416774,7696.0781742111885,51.67892082127158,5.94112424938727,25250.0,0.82,493.09,3500.0,131.58,26.63,62991.0,63466.0,EZS39RG_1538,0.0
453.0,8956.211511061809,-6108.570245667386,8079.35808251374,51.64640102556206,6.000058158006693,26507.0,0.82,490.5,3500.0,131.58,26.28,62965.0,62561.0,EZS39RG_1538,0.0
474.0,13004.475074682332,-9699.880162584886,8462.637990757974,51.61402431998144,6.058595955896603,27765.0,0.82,487.9,3500.0,131.58,25.89,62939.0,61570.0,EZS39RG_1538,0.0
496.0,17031.05910962253,-13271.95765925134,8845.91789893837,51.5817921693237,6.116737454190236,29022.0,0.82,485.29,3469.0,131.58,25.47,62913.0,60500.0,EZS39RG_1538,0.0
517.0,21036.11878851123,-16824.940392977784,9225.846714622587,51.549703867519874,6.174486360818977,30269.0,0.82,482.68,2969.0,131.58,26.34,62887.0,62713.0,EZS39RG_1538,0.0
539.0,25023.71280506396,-20362.428926534372,9551.021258462568,51.5177273831499,6.231902525658476,31335.0,0.82,480.44,2469.0,131.58,25.67,62861.0,61014.0,EZS39RG_1538,0.0
560.0,28996.483706358573,-23886.767525717554,9821.441530124766,51.485841937559265,6.28902511305491,32223.0,0.8142,475.19,1969.0,131.58,25.13,62836.0,59656.0,EZS39RG_1538,0.0
582.0,32929.14289682346,-27375.52208194037,10037.107529532046,51.454251141118675,6.345492297330353,32930.0,0.8081,470.15,1469.0,131.58,23.46,62813.0,55614.0,EZS39RG_1538,0.0
604.0,36823.0034069874,-30829.857415565926,10198.019256703017,51.42294533078678,6.401325415059739,33458.0,0.8016,465.29,969.0,131.58,20.45,62792.0,48632.0,EZS39RG_1538,0.0
625.0,40679.20045051213,-34250.78060138967,10304.176711761713,51.39191622688017,6.456543124128911,33806.0,0.7945,460.41,469.0,131.58,17.3,62775.0,41668.0,EZS39RG_1538,0.0
647.0,44497.04908036163,-37637.684006773976,10355.579895167277,51.36117017183857,6.511137954383037,33975.0,0.7866,455.49,0.0,131.58,14.27,62761.0,35106.0,EZS39RG_1538,0.0
668.0,48275.76251427654,-40989.869658689364,10355.57989587337,51.330714335915765,6.565101005863011,33975.0,0.7866,455.49,0.0,131.58,14.27,62746.0,35101.0,EZS39RG_1538,0.0
690.0,52054.42298163166,-44342.00832298735,10355.57989654217,51.30023417005105,6.618991640024517,33975.0,0.7865,455.48,0.0,131.58,14.27,62732.0,35095.0,EZS39RG_1538,0.0
711.0,55833.03043049691,-47694.09995364245,10355.579897176554,51.26972973552142,6.672809974271024,33975.0,0.7865,455.47,0.0,131.58,14.26,62718.0,35089.0,EZS39RG_1538,0.0
733.0,59611.58480852464,-51046.14450426043,10355.579897779078,51.23920109346531,6.726556126013847,33975.0,0.7865,455.47,0.0,131.58,14.26,62704.0,35084.0,EZS39RG_1538,0.0
754.0,63390.08606328758,-54398.14192838397,10355.57989835201,51.20864830487991,6.7802302126752005,33975.0,0.7865,455.46,0.0,131.58,14.26,62689.0,35078.0,EZS39RG_1538,0.0
776.0,67168.5341422798,-57750.09217949564,10355.579898897395,51.178071430621415,6.833832351686425,33975.0,0.7865,455.45,0.0,131.58,14.26,62675.0,35073.0,EZS39RG_1538,0.0
798.0,70946.92899291884,-61101.99521102221,10355.579899417075,51.14747053140502,6.887362660486232,33975.0,0.7865,455.45,0.0,131.58,14.25,62661.0,35067.0,EZS39RG_1538,0.0
819.0,74725.27056255173,-64453.85097634109,10355.579899912706,51.11684566780513,6.940821256519011,33975.0,0.7865,455.44,0.0,131.58,14.25,62647.0,35062.0,EZS39RG_1538,0.0
841.0,78503.55879528473,-67805.6594256673,10355.5799003858,51.08619690028398,6.994208257188357,33975.0,0.7865,455.43,0.0,131.58,14.25,62632.0,35056.0,EZS39RG_1538,0.0
0.0,92610.16322964747,-39505.26369861936,30.48000030184879,52.316620000913055,4.746299998557124,100.0,0.5,330.63,3500.0,294.81,36.81,66621.0,107773.0,EZY84JU_960,0.08606137158045309
21.0,89384.6437744892,-38014.15944453388,404.7652864010323,52.33056534805192,4.699254643232185,1328.0,0.5709,375.89,3500.0,289.81,35.39,66585.0,97609.0,EZY84JU_960,0.08238834849315446
42.0,85579.11765694743,-36643.31149304149,779.0505725014683,52.343502096899954,4.643611867905311,2556.0,0.639,418.93,3500.0,286.55,33.68,66551.0,88888.0,EZY84JU_960,0.07279838458698845
63.0,81253.92278440682,-35358.17185751721,1153.3358586019258,52.355719768737195,4.580264651858275,3784.0,0.702,458.26,3500.0,290.29,31.88,66520.0,81574.0,EZY84JU_960,0.058456593549753355
84.0,76621.77549874988,-33645.15199805838,1527.6211447020657,52.3717942504712,4.5124604462301585,5012.0,0.7588,493.23,3500.0,293.31,30.13,66489.0,75509.0,EZY84JU_960,0.039864292427703577
105.0,71737.4579168935,-31540.457837616243,1901.9064308019938,52.391385142707456,4.440975981398599,6240.0,0.8094,523.78,3500.0,295.93,28.51,66461.0,70492.0,EZY84JU_960,0.023602814606518446
126.0,66657.99196628199,-29070.095930932137,2276.1917169019753,52.41424499172594,4.366624657059359,7468.0,0.82,528.3,3500.0,295.72,27.9,66433.0,68709.0,EZY84JU_960,0.015041386416288499
147.0,61525.95913129705,-26598.142386532276,2650.4770030018303,52.43707843464422,4.291421200962822,8696.0,0.82,525.95,3500.0,295.76,27.55,66405.0,67728.0,EZY84JU_960,0.011654706731308542
168.0,56418.903923721125,-24133.40911371484,3024.7622891015253,52.459796617783795,4.216507260098336,9924.0,0.82,523.58,3500.0,295.71,27.21,66378.0,66769.0,EZY84JU_960,0.008865887753440575
189.0,51332.62466221275,-21684.876041453354,3399.0475752010534,52.482319793824324,4.14182032982414,11152.0,0.82,521.2,3500.0,295.28,27.29,66351.0,66989.0,EZY84JU_960,0.0075627215101587274
211.0,46251.67980770931,-19285.25600528863,3773.3328613003964,52.50435558879083,4.067128938885483,12380.0,0.82,518.82,3500.0,295.0,27.36,66324.0,67191.0,EZY84JU_960,0.006495883359504215
232.0,41182.50876835742,-16921.71604179638,4147.6181473995275,52.52601896651273,3.992532244178813,13608.0,0.82,516.42,3500.0,294.66,27.4,66296.0,67297.0,EZY84JU_960,0.005637437454566324
253.0,36123.18485924742,-14599.066291767482,4521.90343349843,52.54726703281744,3.9180031612924,14836.0,0.82,514.0,3500.0,294.34,27.4,66269.0,67305.0,EZY84JU_960,0.005028881969542433
