ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,num,cost_grid
167.0,21496.628169001742,21416.799161702806,2990.316617804322,51.97827715403716,4.720202689955859,9811.0,0.8142,520.11,3498.0,180.09,23.89,62126.0,67246.0,id2,0.004,0.03982582921688547
185.0,21487.932357524405,16485.65984740996,3319.1276437611673,51.93393116397905,4.719765787838485,10890.0,0.8166,519.53,3498.0,184.95,23.86,62102.0,67155.0,id2,0.004,0.03767334718501608
204.0,21062.48650651095,11578.459866741088,3647.9255277863867,51.889816398486396,4.713258719017833,11968.0,0.8176,518.07,3497.0,189.79,23.91,62079.0,67286.0,id2,0.004,0.03539376681468977
222.0,20226.49500988755,6738.522986015267,3976.7109343557763,51.84632123758536,4.7007920908353045,13047.0,0.8181,516.3,3497.0,194.61,23.93,62055.0,67375.0,id2,0.004,0.033405350663946135
241.0,18991.505980926835,2002.3181500009546,4305.484673540822,51.803771362790464,4.682552584262593,14126.0,0.8184,514.37,3497.0,199.37,23.94,62031.0,67405.0,id2,0.004,0.03152235196714763
259.0,17373.99169441981,-2597.6725391246227,4634.247573381738,51.76245569281631,4.65879633454932,15204.0,0.8185,512.34,3497.0,204.03,23.93,62007.0,67368.0,id2,0.004,0.029621087986695726
278.0,15395.723987057845,-7033.204632121527,4963.000553028037,51.722624291931474,4.629853823174787,16283.0,0.8186,510.26,3497.0,208.53,23.9,61983.0,67258.0,id2,0.004,0.02747667183187772
296.0,13085.005115180102,-11282.243838700982,5291.744732333593,51.68447082429088,4.59614722963314,17361.0,0.8186,508.12,3497.0,212.7,23.84,61959.0,67077.0,id2,0.004,0.025402435831535987
315.0,10482.638141858268,-15334.859239384548,5620.481364995201,51.648079730443314,4.558276501085656,18440.0,0.8185,505.94,3497.0,216.0,23.76,61935.0,66822.0,id2,0.004,0.023015171775507978
333.0,7663.888908774342,-19214.61196763059,5949.268969525362,51.61323405175633,4.517336744632685,19519.0,0.8183,503.68,3012.0,217.68,23.66,61912.0,66496.0,id2,0.004,0.020891803540921065
352.0,4743.14324238128,-22996.76629125702,6232.473485991738,51.579252729762445,4.474985173006037,20448.0,0.8045,493.33,2516.0,218.42,23.72,61888.0,66700.0,id2,0.004,0.006543155717930488
370.0,1831.7207961852748,-26666.947874925765,6469.042103752297,51.54626312497806,4.432832390488902,21224.0,0.8024,490.51,2020.0,218.55,23.64,61864.0,66421.0,id2,0.004,0.0
389.0,-1072.7609872108817,-30312.606398734417,6658.9651494226755,51.51347891199426,4.390843324729445,21847.0,0.79,481.72,1525.0,218.5,23.68,61841.0,66556.0,id2,0.004,0.0
407.0,-3924.554272333834,-33897.364348022864,6802.290119043283,51.48122767335774,4.349672856803466,22317.0,0.7641,465.06,1030.0,218.42,20.98,61820.0,58408.0,id2,0.004,0.0
426.0,-6675.389332213467,-37363.61713690086,6899.10703856454,51.45002895828866,4.310015267345407,22635.0,0.7184,436.65,537.0,218.35,17.4,61802.0,48566.0,id2,0.004,0.0
444.0,-9255.471810422288,-40623.36250903184,6949.6185415637765,51.42067685017992,4.272868866911954,22801.0,0.6785,412.13,52.0,218.28,13.74,61788.0,39119.0,id2,0.004,0.0
463.0,-11688.032945162346,-43704.10933187298,6954.562639644435,51.39292583844564,4.237890364118906,22817.0,0.6708,407.41,12.0,218.23,13.32,61775.0,38050.0,id2,0.004,0.0
481.0,-14089.865623619566,-46751.862057777456,6955.67477125366,51.365461893410426,4.203395618653599,22820.0,0.6702,407.08,12.0,218.19,13.31,61762.0,38012.0,id2,0.004,0.0
500.0,-16487.62188849727,-49798.87817181205,6956.764588344746,51.337994551805174,4.16900092689976,22824.0,0.6707,407.37,11.0,218.16,13.31,61749.0,38019.0,id2,0.004,0.0
518.0,-18885.388129770727,-52849.38756188428,6957.837968342132,51.310485710547184,4.13464752965093,22828.0,0.6708,407.41,11.0,218.12,13.31,61735.0,38016.0,id2,0.004,0.0
537.0,-21281.445228379594,-55901.6916066566,6958.894598307368,51.28295073225749,4.1003600377386045,22831.0,0.6665,404.79,11.0,218.04,13.2,61722.0,37753.0,id2,0.004,0.0
555.0,-23657.960600318038,-58937.54998488381,6959.92871907942,51.255554443933136,4.066393391975021,22834.0,0.6622,402.16,11.0,217.97,13.1,61709.0,37494.0,id2,0.004,0.0
0.0,23108.087833615646,59046.49299046595,30.480000085621207,52.31661999911888,4.746300001428858,100.0,0.5,330.63,3500.0,201.89,32.45,62368.0,107773.0,id1,1.0,0.08606137138902771
19.0,21931.295087620914,56117.69013873396,362.857145107244,52.29032915553318,4.728796375284084,1190.0,0.5718,376.66,3500.0,196.89,31.21,62336.0,97718.0,id1,1.0,0.07840416572731151
37.0,20885.284047450652,52672.75641802717,695.2342901256388,52.259389154865964,4.713203158769583,2281.0,0.6404,420.25,3500.0,191.89,29.73,62307.0,89103.0,id1,1.0,0.0681383465671945
56.0,20056.973407179517,48738.82524482377,1027.6114351317817,52.22404160290635,4.700798911341328,3371.0,0.6696,437.79,3500.0,186.89,28.87,62278.0,84969.0,id1,1.0,0.05807350500377587
75.0,19554.428441683704,44580.087378195814,1359.9885801241721,52.186659580117556,4.693180101442482,4462.0,0.6839,445.36,3500.0,181.89,28.3,62249.0,82422.0,id1,1.0,0.04970736068937542
93.0,19413.850429321094,40320.55444287142,1692.365725103695,52.14835799255109,4.69087340101376,5552.0,0.712,461.91,3500.0,176.89,27.42,62222.0,78814.0,id1,1.0,0.045766548938676405
112.0,19653.68946565766,35905.95874889671,2024.7428700712414,52.10864846353764,4.694132298136473,6643.0,0.7396,477.93,3500.0,171.89,26.55,62195.0,75474.0,id1,1.0,0.04431430577507695
131.0,20299.115767710435,31376.48045050953,2357.1200150265317,52.06789096399773,4.703312282841171,7733.0,0.7657,492.88,3500.0,166.89,25.7,62170.0,72445.0,id1,1.0,0.04264558466246605
150.0,21369.450423752667,26780.53294994905,2689.497159969257,52.02651876826058,4.718681974400621,8824.0,0.7897,506.29,3500.0,161.89,24.9,62145.0,69748.0,id1,1.0,0.040738508766075286
168.0,22876.37027793357,22172.760388053724,3021.8743048991505,51.98502041232804,4.7403977794031285,9914.0,0.8069,515.25,3500.0,165.58,24.27,62121.0,67661.0,id1,1.0,0.03852923040153334
