ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
581.0,-43273.12267199368,-12981.321353465943,10177.52787283683,51.92413127395619,2.7450639975396527,33391.0,0.7986,463.7,1913.0,251.97,23.51,73405.0,57921.0,EIN84T_1587,0.0
602.0,-47970.15560995197,-14510.394889635581,10379.22291507234,51.90999416306923,2.6767861498124947,34053.0,0.805,465.97,1413.0,251.97,23.05,73382.0,56756.0,EIN84T_1587,0.0
623.0,-52693.87418793658,-16048.155680413849,10528.199931849662,51.89573692060164,2.6081637880849544,34541.0,0.8007,462.52,913.0,251.97,21.59,73360.0,53164.0,EIN84T_1587,0.0
643.0,-57385.62027645244,-17575.50814081189,10624.458923370981,51.88153670182377,2.5400490483548053,34857.0,0.7936,457.73,413.0,251.97,18.24,73342.0,45273.0,EIN84T_1587,0.0
664.0,-62031.42309658667,-19087.90421962283,10667.999890459278,51.86743681450447,2.472643757009564,35000.0,0.7872,453.74,0.0,251.97,15.34,73327.0,38697.0,EIN84T_1587,0.0
685.0,-66638.48731032768,-20587.689325035222,10667.99989195525,51.853416489879606,2.4058422939746276,35000.0,0.7872,453.74,0.0,251.97,15.34,73311.0,38690.0,EIN84T_1587,0.0
706.0,-71245.51178333865,-22087.461498320183,10667.999893436358,51.83935848061722,2.339083072711025,35000.0,0.7872,453.74,0.0,251.97,15.33,73296.0,38683.0,EIN84T_1587,0.0
726.0,-75852.4964844252,-23587.220729939465,10667.999894902787,51.825262830470365,2.27236615755722,35000.0,0.7872,453.73,0.0,251.97,15.33,73281.0,38676.0,EIN84T_1587,0.0
747.0,-80459.44138171976,-25086.967010214194,10667.999896354728,51.81112958324434,2.2056916124197206,35000.0,0.7871,453.73,0.0,251.97,15.33,73265.0,38669.0,EIN84T_1587,0.0
768.0,-85066.34644331165,-26586.700329531835,10667.999897792371,51.79695878279414,2.1390595007643403,35000.0,0.7871,453.72,0.0,251.97,15.33,73250.0,38662.0,EIN84T_1587,0.0
789.0,-89673.21163726147,-28086.420678338276,10667.999899215902,51.78275047302415,2.0724698856164134,35000.0,0.7871,453.72,0.0,251.97,15.32,73235.0,38655.0,EIN84T_1587,0.0
809.0,-94280.03692236326,-29586.12804348789,10667.999900625495,51.7685046979219,2.0059228296944402,35000.0,0.7871,453.72,0.0,251.97,15.32,73220.0,38648.0,EIN84T_1587,0.0
0.0,92957.22562303657,30617.146273937236,30.480000294263334,52.31661999912772,4.746299998506681,100.0,0.5,330.63,3500.0,253.44,36.28,77964.0,107773.0,EIN84X_1515,0.08606137125106245
21.0,89600.0823754375,29618.926862435837,399.37221751814087,52.308203266568526,4.696652080733008,1310.0,0.5487,361.29,3500.0,252.34,35.27,77928.0,100086.0,EIN84X_1515,0.07945536827946965
41.0,85950.07133365709,28456.89513213231,768.2644347517264,52.298338751526614,4.642674785066358,2521.0,0.5966,391.21,3500.0,252.34,34.08,77894.0,93172.0,EIN84X_1515,0.06979917518188782
62.0,81995.2047600257,27197.80840579978,1137.1566519907706,52.287622576499174,4.584216378744218,3731.0,0.6428,419.69,3500.0,252.34,32.78,77862.0,87043.0,EIN84X_1515,0.05908735921278919
83.0,77750.27502643719,25846.37604234458,1506.0488692333547,52.276088344845995,4.5215019394483695,4941.0,0.6865,446.31,3500.0,252.34,31.44,77830.0,81655.0,EIN84X_1515,0.04717783006042008
104.0,73234.40353401688,24408.685605511542,1874.9410864784272,52.26378146899693,4.454820491771443,6151.0,0.7274,470.87,3500.0,252.34,30.12,77800.0,76936.0,EIN84X_1515,0.03902623931655927
124.0,68468.76560861479,22891.478554513214,2243.83330372535,52.250753208959594,4.384491180154645,7362.0,0.7654,493.31,3500.0,252.34,28.85,77771.0,72807.0,EIN84X_1515,0.03318036891945533
145.0,63474.85921194735,21301.59906416732,2612.7255209737273,52.23705610253245,4.310837558597248,8572.0,0.8006,513.73,3500.0,252.34,27.66,77744.0,69186.0,EIN84X_1515,0.02674071732401349
166.0,58273.3114882053,19645.61407242798,2981.617738223301,52.222740783399885,4.234169897246034,9782.0,0.82,523.85,3500.0,252.34,26.86,77717.0,66879.0,EIN84X_1515,0.020614211913179786
187.0,52968.936269213016,17956.892518998957,3350.509955472825,52.20809135225504,4.156037597053404,10992.0,0.82,521.51,3500.0,252.34,26.89,77690.0,66955.0,EIN84X_1515,0.016805140668781242
207.0,47688.485784803146,16275.787737405954,3719.402172721835,52.193456786623855,4.078308948858845,12203.0,0.82,519.16,3500.0,252.34,26.96,77663.0,67168.0,EIN84X_1515,0.013731352737604294
228.0,42432.06892036452,14602.334392803697,4088.2943899702545,52.17883814448261,4.000984975999291,13413.0,0.82,516.8,3500.0,252.34,27.0,77636.0,67287.0,EIN84X_1515,0.010877954661743289
249.0,37199.79606151788,12936.567627968734,4457.1866072179955,52.16423648749812,3.924066718883732,14623.0,0.82,514.42,3500.0,252.34,27.01,77609.0,67311.0,EIN84X_1515,0.009509356062472498
270.0,31991.779128883714,11278.52307436789,4826.078824464976,52.14965288114867,3.8475552355257334,15834.0,0.82,512.04,3500.0,252.34,26.99,77582.0,67237.0,EIN84X_1515,0.008013816046759078
290.0,26808.131613988862,9628.236863589305,5194.971041711108,52.13508839484864,3.7714516020907807,17044.0,0.82,509.64,3500.0,252.34,26.93,77555.0,67069.0,EIN84X_1515,0.0070349690306128615
311.0,21648.96861635988,7985.745639151367,5563.863258956308,52.12054410207716,3.695756913457841,18254.0,0.82,507.23,3500.0,252.34,26.83,77528.0,66804.0,EIN84X_1515,0.006300282914224258
332.0,16514.40688185441,6351.086568705824,5932.755476200494,52.106021080509464,3.6204722837917176,19464.0,0.82,504.81,3500.0,252.34,26.71,77501.0,66445.0,EIN84X_1515,0.005584522728647984
353.0,11404.56484228401,4724.297356652054,6301.647693443586,52.09152041214628,3.545598847108548,20675.0,0.82,502.38,3500.0,252.34,26.54,77475.0,65991.0,EIN84X_1515,0.000749154207256326
